CompanyCode,Type,Market,Code,List,Last trade,Delist,Notes
01398,Note/bond 2020-06-2,HK Main,5225,2017-06-28,,,
01398,Note/bond 2020-09-1,HK Main,85906,2019-09-17,,,
01398,Note/bond 2021-09-1,HK Main,6012,2019-09-17,,,
01398,Note/bond 2021-12-0,HK Main,4529,2011-12-08,,,
01398,Note/bond 2022-02-2,HK Main,5374,2017-02-22,,,
01398,Note/bond 2022-02-2,HK Main,5375,2017-02-22,,,
01398,Note/bond 2022-06-2,HK Main,5226,2017-06-28,,,
01398,Note/bond 2022-09-1,HK Main,6010,2019-09-17,,,
01398,Note/bond 2022-09-1,HK Main,6013,2019-09-17,,,
01398,Note/bond 2024-02-2,HK Main,85955,2014-03-20,,,
01398,Note/bond 2024-09-1,HK Main,6008,2019-09-17,,,
01398,Note/bond 2025-09-2,HK Main,5566,2015-09-22,,,
01551,PRC ordinary shares listed in HK,HK Main,1551,2017-06-20,,,
01551,Preference,HK Main,4618,2019-06-21,,,
01578,PRC ordinary shares listed in HK,HK Main,1578,2016-03-30,,,
01658,PRC ordinary shares listed in HK,HK Main,1658,2016-09-28,,,
01658,A-share,Shang,601658,2019-12-10,,,
01658,Preference,HK Main,4612,2017-09-28,,,
01916,PRC ordinary shares listed in HK,HK Main,1916,2018-06-26,,,
01963,PRC ordinary shares listed in HK,HK Main,1963,2013-11-06,,,
01963,Preference,HK Main,4616,2017-12-21,,,
01983,PRC ordinary shares listed in HK,HK Main,1983,2018-12-17,,,
01988,PRC ordinary shares listed in HK,HK Main,1988,2009-11-26,,,
01988,A-share,Shang,600016,2000-12-19,,,
01988,Preference,HK Main,4609,2016-12-15,,,
01988,Note/bond 2018-05-2,HK Main,5518,2015-05-22,2018-05-16,2018-05-23,Expired
01988,Note/bond 2020-05-0,HK Main,4581,2017-05-08,,,
01988,Note/bond 2020-09-1,HK Main,5268,2017-09-12,,,
01988,Note/bond 2020-11-1,HK Main,5018,2017-11-16,,,
01988,Note/bond 2020-11-1,HK Main,5017,2017-11-16,,,
01988,Note/bond 2021-03-0,HK Main,4444,2018-03-12,,,
01988,Note/bond 2022-09-1,HK Main,5269,2017-09-12,,,
01988,Note/bond 2023-03-0,HK Main,4445,2018-03-12,,,
02016,PRC ordinary shares listed in HK,HK Main,2016,2016-03-30,,,
02016,A-share,Shang,601916,2019-11-26,,,
02016,Preference,HK Main,4610,2017-03-30,,,
02066,PRC ordinary shares listed in HK,HK Main,2066,2014-12-29,,,
02139,PRC ordinary shares listed in HK,HK Main,2139,2018-01-18,,,
02356,Ordinary shares,HK Main,2356,2004-06-30,,,
02356,Nil-paid rights 2010-12-1,HK Main,2955,2010-11-30,2010-12-14,2010-12-15,Expired
02356,Nil-paid rights 2014-04-3,HK Main,2993,2014-04-09,2014-04-25,2014-04-28,Expired
02388,Ordinary shares,HK Main,2388,2002-07-25,,,
02558,PRC ordinary shares listed in HK,HK Main,2558,2019-07-18,,,
02888,Ordinary shares,HK Main,2888,2002-10-31,,,
02888,Nil-paid rights,HK Main,2921,2015-11-25,2015-12-07,2015-12-08,Expired
02888,Nil-paid rights 2008-12-1,HK Main,2976,2008-12-02,2008-12-12,2008-12-15,Expired
02888,Nil-paid rights 2010-11-0,HK Main,2942,2010-10-25,2010-11-02,2010-11-03,Expired
02888,Note/bond,HK Main,5890,2015-04-08,,,
02888,Note/bond,HK Main,4305,2016-08-19,,,
02888,Note/bond,HK Main,5348,2017-01-19,,,
02888,Note/bond,HK Main,5986,2019-07-04,,,
02888,Note/bond 2018-06-0,HK Main,5526,2015-06-08,2018-05-31,2018-06-06,Expired
02888,Note/bond 2020-06-0,HK Main,5527,2015-06-08,,,
02888,Note/bond 2021-09-1,HK Main,4324,2016-09-19,,,
02888,Note/bond 2024-11-2,HK Main,5475,2018-12-07,,,
02888,Note/bond 2025-06-0,HK Main,5528,2015-06-08,,,
03328,PRC ordinary shares listed in HK,HK Main,3328,2005-06-23,,,
03328,A-share,Shang,601328,2007-05-15,,,
03328,Preference,HK Main,4605,2015-07-30,,,
03328,Nil-paid rights 2010-07-0,HK Main,2918,2010-06-28,2010-07-06,2010-07-07,Expired
03328,Note/bond 2016-0,HK Main,85954,2014-03-21,2016-03-16,2016-03-22,Expired
03328,Note/bond 2017-01-1,HK Main,6007,2014-01-16,2017-01-11,2017-01-17,Expired
03328,Note/bond 2018-01-1,HK Main,5856,2015-01-19,2018-01-11,2018-01-17,Expired
03328,Note/bond 2018-08-2,HK Main,5561,2015-08-24,2018-08-16,2018-08-22,Expired
03328,Note/bond 2019-01-2,HK Main,5609,2016-01-26,2019-01-22,2019-01-28,Expired
03328,Note/bond 2019-03-2,HK Main,5620,2016-03-22,2019-03-18,2019-03-22,Expired
03328,Note/bond 2019-04-2,HK Main,5729,2014-04-28,2019-04-18,2019-04-26,Expired
03328,Note/bond 2019-08-1,HK Main,5698,2016-08-17,2019-08-13,2019-08-19,Expired
03328,Note/bond 2020-02-2,HK Main,5376,2017-02-22,,,
03328,Note/bond 2020-05-1,HK Main,5202,2017-05-16,,,
03328,Note/bond 2020-05-1,HK Main,4495,2018-05-21,,,
03328,Note/bond 2020-08-2,HK Main,5560,2015-08-24,,,
03328,Note/bond 2020-12-0,HK Main,5046,2017-12-05,,,
03328,Note/bond 2021-03-2,HK Main,5621,2016-03-22,,,
03328,Note/bond 2021-03-2,HK Main,85741,2019-03-22,,,
03328,Note/bond 2021-05-1,HK Main,4493,2018-05-18,,,
03328,Note/bond 2022-03-2,HK Main,5912,2019-03-22,,,
03328,Note/bond 2022-05-1,HK Main,5203,2017-05-16,,,
03328,Note/bond 2022-12-0,HK Main,5047,2017-12-05,,,
03328,Note/bond 2023-03-0,HK Main,5909,2013-03-07,,,
03328,Note/bond 2023-05-1,HK Main,4494,2018-05-18,,,
03328,Note/bond 2024-03-2,HK Main,5914,2019-03-22,,,
03328,Note/bond 2024-10-0,HK Main,5808,2014-10-06,2019-10-08,2019-10-14,Redeemed
03328,Note/bond 2026-10-0,HK Main,5809,2014-10-06,,,
03618,PRC ordinary shares listed in HK,HK Main,3618,2010-12-16,,,
03618,A-share,Shang,601077,2019-10-29,,,
03698,PRC ordinary shares listed in HK,HK Main,3698,2013-11-12,,,
03698,Preference,HK Main,4608,2016-11-11,,,
03866,PRC ordinary shares listed in HK,HK Main,3866,2015-12-03,,,
03866,Preference,HK Main,4611,2017-09-20,,,
03968,PRC ordinary shares listed in HK,HK Main,3968,2006-09-22,,,
03968,A-share,Shang,600036,2002-04-09,,,
03968,Preference,HK Main,4614,2017-10-26,,,
03968,Nil-paid rights 2010-03-2,HK Main,2998,2010-03-17,2010-03-24,2010-03-25,Expired
03968,Nil-paid rights 2013-09-1,HK Main,2939,2013-09-09,2013-09-16,2013-09-17,Expired
03968,Note/bond 2017-04-1,HK Main,85957,2014-04-11,2017-04-05,2017-04-11,Expired
03968,Note/bond 2017-06-1,HK Main,5761,2014-06-13,2017-06-07,2017-06-13,Expired
03968,Note/bond 2018-05-1,HK Main,5515,2015-05-15,2018-05-09,2018-05-15,Expired
03968,Note/bond 2019-08-1,HK Main,5789,2014-08-12,2019-08-07,2019-08-13,Expired
03968,Note/bond 2020-06-1,HK Main,5219,2017-06-13,,,
03968,Note/bond 2021-06-0,HK Main,5108,2018-06-04,,,
03968,Note/bond 2021-09-2,HK Main,5178,2018-09-27,,,
03968,Note/bond 2022-06-1,HK Main,5079,2019-06-20,,,
03968,Note/bond 2023-09-2,HK Main,5179,2018-09-27,,,
03988,PRC ordinary shares listed in HK,HK Main,3988,2006-06-01,,,
03988,A-share,Shang,601988,2006-07-05,,,
03988,Preference,HK Main,4601,2014-10-24,2019-10-24,2019-10-25,Redeemed
03988,Nil-paid rights 2010-12-0,HK Main,2946,2010-11-18,2010-11-30,2010-12-01,Expired
03988,Note/bond 2015-0,HK Main,86029,2012-07-24,2015-07-20,2015-07-24,Expired
03988,Note/bond 2016-12-0,HK Main,6000,2013-12-09,2016-12-01,2016-12-07,Expired
03988,Note/bond 2017-01-1,HK Main,85942,2014-01-17,2017-01-11,2017-01-17,Expired
03988,Note/bond 2017-01-2,HK Main,6009,2014-01-24,2017-01-18,2017-01-24,Expired
03988,Note/bond 2017-11-2,HK Main,5837,2014-11-27,2017-11-22,2017-11-28,Expired
03988,Note/bond 2018-06-3,HK Main,5536,2015-07-02,2018-06-27,2018-07-04,Expired
03988,Note/bond 2018-07-1,HK Main,85724,2016-07-13,2018-07-09,2018-07-13,Expired
03988,Note/bond 2019-01-2,HK Main,6010,2014-01-24,2019-01-18,2019-01-24,Expired
03988,Note/bond 2019-03-0,HK Main,5615,2016-03-02,2019-02-26,2019-03-04,Expired
03988,Note/bond 2019-03-0,HK Main,5617,2016-03-02,2019-02-26,2019-03-04,Expired
03988,Note/bond 2019-03-0,HK Main,85730,2018-03-06,2019-02-28,2019-03-06,Expired
03988,Note/bond 2019-07-1,HK Main,5235,2017-07-12,2019-07-08,2019-07-12,Expired
03988,Note/bond 2019-11-2,HK Main,5838,2014-11-27,2019-11-21,2019-11-27,Expired
03988,Note/bond 2020-02-1,HK Main,5370,2017-02-15,,,
03988,Note/bond 2020-02-1,HK Main,5368,2017-02-15,,,
03988,Note/bond 2020-04-1,HK Main,85742,2019-04-18,,,
03988,Note/bond 2020-04-2,HK Main,5429,2017-04-21,,,
03988,Note/bond 2020-04-2,HK Main,5430,2017-04-21,,,
03988,Note/bond 2020-04-2,HK Main,85726,2017-04-21,,,
03988,Note/bond 2020-05-1,HK Main,5200,2017-05-12,,,
03988,Note/bond 2020-06-0,HK Main,5113,2018-06-08,,,
03988,Note/bond 2020-06-3,HK Main,5537,2015-07-02,,,
03988,Note/bond 2020-11-2,HK Main,5294,2018-11-21,,,
03988,Note/bond 2020-11-2,HK Main,5346,2018-11-21,,,
03988,Note/bond 2021-03-0,HK Main,5616,2016-03-02,,,
03988,Note/bond 2021-03-0,HK Main,85731,2018-03-06,,,
03988,Note/bond 2021-03-0,HK Main,4439,2018-03-09,,,
03988,Note/bond 2021-04-1,HK Main,4459,2018-04-18,,,
03988,Note/bond 2021-04-1,HK Main,4461,2018-04-18,,,
03988,Note/bond 2021-04-1,HK Main,4462,2018-04-18,,,
03988,Note/bond 2021-04-1,HK Main,5969,2019-04-18,,,
03988,Note/bond 2021-06-0,HK Main,5114,2018-06-08,,,
03988,Note/bond 2021-08-0,HK Main,5137,2018-08-10,,,
03988,Note/bond 2021-10-1,HK Main,85907,2019-10-17,,,
03988,Note/bond 2021-10-1,HK Main,40020,2019-10-17,,,
03988,Note/bond 2021-11-2,HK Main,5450,2018-11-21,,,
03988,Note/bond 2021-11-2,HK Main,85739,2018-11-21,,,
03988,Note/bond 2022-02-1,HK Main,5369,2017-02-15,,,
03988,Note/bond 2022-04-1,HK Main,5965,2019-04-18,,,
03988,Note/bond 2022-04-1,HK Main,5967,2019-04-18,,,
03988,Note/bond 2022-04-1,HK Main,85743,2019-04-18,,,
03988,Note/bond 2022-04-2,HK Main,5431,2017-04-21,,,
03988,Note/bond 2022-04-2,HK Main,5432,2017-04-21,,,
03988,Note/bond 2022-07-1,HK Main,5236,2017-07-12,,,
03988,Note/bond 2022-10-1,HK Main,5968,2019-04-18,,,
03988,Note/bond 2022-10-1,HK Main,40021,2019-10-18,,,
03988,Note/bond 2023-03-0,HK Main,4440,2018-03-09,,,
03988,Note/bond 2023-04-1,HK Main,4460,2018-04-18,,,
03988,Note/bond 2023-06-0,HK Main,5115,2018-06-08,,,
03988,Note/bond 2023-11-2,HK Main,5451,2018-11-21,,,
03988,Note/bond 2024-04-1,HK Main,5974,2019-04-18,,,
03988,Note/bond 2024-11-1,HK Main,5828,2014-11-14,,,
03988,Note/bond 2024-12-0,HK Main,40089,2019-12-06,,,
03988,Note/bond 2025-06-3,HK Main,5538,2015-07-02,,,
03988,Note/bond 2027-04-2,HK Main,5433,2017-04-21,,,
03988,Note/bond 2028-03-0,HK Main,4441,2018-03-09,,,
03988,Note/bond 2029-04-1,HK Main,5982,2019-04-18,,,
04605,PRC ordinary shares listed in HK,HK Main,3328,2005-06-23,,,
04605,A-share,Shang,601328,2007-05-15,,,
04605,Preference,HK Main,4605,2015-07-30,,,
04605,Nil-paid rights 2010-07-0,HK Main,2918,2010-06-28,2010-07-06,2010-07-07,Expired
04605,Note/bond 2016-0,HK Main,85954,2014-03-21,2016-03-16,2016-03-22,Expired
04605,Note/bond 2017-01-1,HK Main,6007,2014-01-16,2017-01-11,2017-01-17,Expired
04605,Note/bond 2018-01-1,HK Main,5856,2015-01-19,2018-01-11,2018-01-17,Expired
04605,Note/bond 2018-08-2,HK Main,5561,2015-08-24,2018-08-16,2018-08-22,Expired
04605,Note/bond 2019-01-2,HK Main,5609,2016-01-26,2019-01-22,2019-01-28,Expired
04605,Note/bond 2019-03-2,HK Main,5620,2016-03-22,2019-03-18,2019-03-22,Expired
04605,Note/bond 2019-04-2,HK Main,5729,2014-04-28,2019-04-18,2019-04-26,Expired
04605,Note/bond 2019-08-1,HK Main,5698,2016-08-17,2019-08-13,2019-08-19,Expired
04605,Note/bond 2020-02-2,HK Main,5376,2017-02-22,,,
04605,Note/bond 2020-05-1,HK Main,5202,2017-05-16,,,
04605,Note/bond 2020-05-1,HK Main,4495,2018-05-21,,,
04605,Note/bond 2020-08-2,HK Main,5560,2015-08-24,,,
04605,Note/bond 2020-12-0,HK Main,5046,2017-12-05,,,
04605,Note/bond 2021-03-2,HK Main,5621,2016-03-22,,,
04605,Note/bond 2021-03-2,HK Main,85741,2019-03-22,,,
04605,Note/bond 2021-05-1,HK Main,4493,2018-05-18,,,
04605,Note/bond 2022-03-2,HK Main,5912,2019-03-22,,,
04605,Note/bond 2022-05-1,HK Main,5203,2017-05-16,,,
04605,Note/bond 2022-12-0,HK Main,5047,2017-12-05,,,
04605,Note/bond 2023-03-0,HK Main,5909,2013-03-07,,,
04605,Note/bond 2023-05-1,HK Main,4494,2018-05-18,,,
04605,Note/bond 2024-03-2,HK Main,5914,2019-03-22,,,
